year,revenue,netIncome,grossProfit,rdExpense,totalAssets,stockholdersEquity,epsDiluted,dividendsPerShare,employees,basis,flags
1990,68931,6020,,6554.0,87568,42553.0,10.42,4.84,,"revenue=worldwide consolidated revenue; netIncome=net earnings as originally reported (1994 5-yr restates to 5,967 after accounting changes)","netIncome:disagree:6020.0vs[5967.0, 159.0]|totalAssets:disagree:87568.0vs[73037.0]|stockholdersEquity:disagree:42553.0vs[39509.0]"
1991,64766,-2861,,6644.0,92473,36679.0,-5.01,4.84,10963.0,revenue=worldwide consolidated revenue; netIncome=net loss after accounting changes,revenue:disagree:64766.0vs[40358.0]|netIncome:disagree:-2827.0vs[-2861.0]|totalAssets:disagree:92473.0vs[20681.0]
1992,64523,-4965,,6522.0,86705,27624.0,-8.7,4.84,15776.0,revenue=worldwide consolidated revenue; netIncome=net loss after accounting changes,revenue:disagree:64523.0vs[6111.0]
1993,62716,-8101,,5558.0,81113,19738.0,-14.22,1.58,,revenue=worldwide consolidated revenue; netIncome=net loss after accounting changes,epsDiluted:anchor_overrode_md(-7.11->-14.22)
1994,64052,3021,,4363.0,81091,23413.0,5.02,1.0,,revenue=worldwide consolidated revenue; netIncome=net earnings,revenue:disagree:64052.0vs[32344.0]|netIncome:disagree:3021.0vs[707.0]|epsDiluted:anchor_overrode_md(2.48->5.02)
1995,71940,4178,,4170.0,80292,22423.0,1.76,0.25,,revenue=worldwide consolidated revenue; epsDiluted=split-adjusted,"revenue:disagree:71940.0vs[75947.0, 35600.0]|netIncome:disagree:4178.0vs[5429.0]|stockholdersEquity:disagree:22423.0vs[58054.0]|epsDiluted:disagree:1.76vs[3.53, 5.01]"
1996,75947,5429,,4654.0,81132,21628.0,2.5,0.325,,revenue=worldwide consolidated revenue; epsDiluted=split-adjusted,"revenue:disagree:75947.0vs[6981.0, 11426.0, 78508.0]|netIncome:disagree:5429.0vs[6093.0]|stockholdersEquity:disagree:21628.0vs[57957.0, 31793.0]|epsDiluted:disagree:2.5vs[5.12, 6.01]|epsBasic:disagree:2.56vs[5.12]"
1997,78508,6093,,4877.0,81499,19816.0,3.0,0.3875,269465.0,revenue=worldwide consolidated revenue; epsDiluted=split-adjusted,"revenue:disagree:78508.0vs[36630.0]|stockholdersEquity:disagree:19816.0vs[21628.0, 35444.0]|epsDiluted:disagree:3.0vs[6.01]|epsBasic:disagree:3.09vs[6.18]"
1998,81667,6328,,5046.0,86100,19433.0,3.29,0.43,291067.0,revenue=worldwide consolidated revenue; epsDiluted=split-adjusted,"revenue:disagree:81667.0vs[77548.0, 2877.0]|totalAssets:disagree:86100.0vs[88160.0]|stockholdersEquity:disagree:19433.0vs[40109.0]|epsDiluted:disagree:3.29vs[6.57]|epsBasic:disagree:3.38vs[6.75]|revenue:5yr_restated_or_disagree:orig=81667.0(1998);later=[{'value': 77548.0, 'firstReport': 2002}]|totalAssets:5yr_restated_or_disagree:orig=86100.0(1998);later=[{'value': 88160.0, 'firstReport': 2002}]|epsBasic:5yr_restated_or_disagree:orig=3.38(1999);later=[{'value': 2.92, 'firstReport': 2002}]|epsDiluted:5yr_restated_or_disagree:orig=3.29(1999);later=[{'value': 2.84, 'firstReport': 2002}]"
1999,87548,7712,,5273.0,87495,20511.0,4.12,0.47,307401.0,revenue=worldwide consolidated revenue; epsDiluted=split-adjusted,"revenue:disagree:87548.0vs[83334.0, 3137.0]|totalAssets:disagree:87495.0vs[89571.0]|rdExpense:disagree:5273.0vs[5505.0]|revenue:5yr_restated_or_disagree:orig=87548.0(1999);later=[{'value': 83334.0, 'firstReport': 2002}]|totalAssets:5yr_restated_or_disagree:orig=87495.0(1999);later=[{'value': 89571.0, 'firstReport': 2002}]|epsBasic:5yr_restated_or_disagree:orig=4.25(1999);later=[{'value': 4.06, 'firstReport': 2002}]|epsDiluted:5yr_restated_or_disagree:orig=4.12(1999);later=[{'value': 3.93, 'firstReport': 2002}]"
2000,88396.0,8093.0,,5084.0,88349.0,20624.0,4.44,0.51,,,"revenue:disagree:85089.0vs[3465.0, 88396.0]|totalAssets:disagree:88349.0vs[90412.0]|rdExpense:disagree:5084.0vs[5374.0]|epsDiluted:disagree:4.44vs[4.32]|epsBasic:disagree:4.58vs[4.45]|revenue:5yr_restated_or_disagree:orig=88396.0(2000);later=[{'value': 85089.0, 'firstReport': 2002}]|totalAssets:5yr_restated_or_disagree:orig=88349.0(2000);later=[{'value': 90412.0, 'firstReport': 2002}]|epsBasic:5yr_restated_or_disagree:orig=4.58(2000);later=[{'value': 4.45, 'firstReport': 2002}]|epsDiluted:5yr_restated_or_disagree:orig=4.44(2000);later=[{'value': 4.32, 'firstReport': 2002}]"
2001,85866.0,7723.0,,4986.0,88313.0,23448.0,4.35,0.55,319876.0,,"revenue:disagree:83067.0vs[85866.0]|totalAssets:disagree:90303.0vs[88313.0]|stockholdersEquity:disagree:23448.0vs[23614.0]|rdExpense:disagree:4986.0vs[5290.0]|epsDiluted:disagree:4.59vs[4.35]|epsBasic:disagree:4.69vs[4.45]|revenue:5yr_restated_or_disagree:orig=85866.0(2001);later=[{'value': 83067.0, 'firstReport': 2002}]|totalAssets:5yr_restated_or_disagree:orig=88313.0(2001);later=[{'value': 90303.0, 'firstReport': 2002}]|epsBasic:5yr_restated_or_disagree:orig=4.45(2001);later=[{'value': 4.69, 'firstReport': 2002}]|epsDiluted:5yr_restated_or_disagree:orig=4.35(2001);later=[{'value': 4.59, 'firstReport': 2002}]"
2002,81186.0,3579.0,,4750.0,96484.0,22782.0,3.07,0.59,315889.0,,"netIncome:disagree:3579.0vs[2376.0]|totalAssets:disagree:96484.0vs[97814.0]|stockholdersEquity:disagree:22782.0vs[24112.0]|netIncome:5yr_restated_or_disagree:orig=3579.0(2002);later=[{'value': 2376.0, 'firstReport': 2006}]|totalAssets:5yr_restated_or_disagree:orig=96484.0(2002);later=[{'value': 97814.0, 'firstReport': 2006}]|epsBasic:5yr_restated_or_disagree:orig=3.13(2002);later=[{'value': 2.44, 'firstReport': 2006}]|epsDiluted:5yr_restated_or_disagree:orig=3.07(2002);later=[{'value': 2.43, 'firstReport': 2006}]"
2003,89131.0,7583.0,,5077.0,104457.0,27864.0,4.34,0.63,319273.0,,"netIncome:disagree:7583.0vs[6558.0]|totalAssets:disagree:104457.0vs[106021.0]|stockholdersEquity:disagree:27864.0vs[29531.0]|epsDiluted:disagree:3.74vs[4.34]|epsBasic:disagree:4.42vs[3.81]|netIncome:5yr_restated_or_disagree:orig=7583.0(2003);later=[{'value': 6558.0, 'firstReport': 2006}]|totalAssets:5yr_restated_or_disagree:orig=104457.0(2003);later=[{'value': 106021.0, 'firstReport': 2006}]|epsBasic:5yr_restated_or_disagree:orig=4.42(2003);later=[{'value': 3.83, 'firstReport': 2006}]|epsDiluted:5yr_restated_or_disagree:orig=4.34(2003);later=[{'value': 3.76, 'firstReport': 2006}]"
2004,96293.0,8430.0,,5874,109183.0,31688.0,4.94,0.7,,,"revenue:disagree:3894.0vs[96293.0]|netIncome:disagree:7479.0vs[8430.0]|totalAssets:disagree:111003.0vs[109183.0]|stockholdersEquity:disagree:31688.0vs[29747.0]|netIncome:5yr_restated_or_disagree:orig=8430.0(2004);later=[{'value': 7479.0, 'firstReport': 2006}]|totalAssets:5yr_restated_or_disagree:orig=109183.0(2004);later=[{'value': 111003.0, 'firstReport': 2006}]|epsBasic:5yr_restated_or_disagree:orig=5.04(2004);later=[{'value': 4.48, 'firstReport': 2006}]|epsDiluted:5yr_restated_or_disagree:orig=4.94(2004);later=[{'value': 4.39, 'firstReport': 2006}]"
2005,91134.0,7934.0,,5842,105748.0,33098.0,4.91,0.78,,,"revenue:disagree:91134.0vs[3907.0]|rdExpense:anchor_overrode_md(107.0->5842)|epsBasic:5yr_restated_or_disagree:orig=4.99(2006);later=[{'value': 4.97, 'firstReport': 2009}]"
2006,91424.0,9492.0,,6107.0,103234.0,28506.0,6.06,1.1,355766.0,,"revenue:disagree:91424.0vs[3892.0]|epsBasic:5yr_restated_or_disagree:orig=6.15(2006);later=[{'value': 6.13, 'firstReport': 2009}]"
2007,98786.0,10418.0,,6153.0,120431.0,28615.0,7.18,1.5,386558.0,,"stockholdersEquity:disagree:28615.0vs[28470.0]|epsDiluted:disagree:7.15vs[7.18]|epsBasic:5yr_restated_or_disagree:orig=7.32(2008);later=[{'value': 7.27, 'firstReport': 2009}]|epsDiluted:5yr_restated_or_disagree:orig=7.18(2008);later=[{'value': 7.15, 'firstReport': 2009}]"
2008,103630.0,12334.0,,6337.0,109524.0,13584.0,8.93,1.9,398455.0,,"stockholdersEquity:disagree:13584.0vs[13465.0]|epsDiluted:disagree:8.89vs[8.93]|epsBasic:5yr_restated_or_disagree:orig=9.07(2008);later=[{'value': 9.02, 'firstReport': 2009}]|epsDiluted:5yr_restated_or_disagree:orig=8.93(2008);later=[{'value': 8.89, 'firstReport': 2009}]"
2009,95758.0,13425.0,,,109022.0,22755.0,10.01,2.15,399409.0,,revenue:disagree:95758.0vs[4076.0]
2010,99870.0,14833.0,,,113452.0,23172.0,11.52,2.5,426751.0,,"revenue:disagree:99870.0vs[98018.0]|revenue:5yr_restated_or_disagree:orig=99870.0(2010);later=[{'value': 98018.0, 'firstReport': 2014}]|epsBasic:5yr_restated_or_disagree:orig=11.69(2010);later=[{'value': 11.89, 'firstReport': 2014}]|epsDiluted:5yr_restated_or_disagree:orig=11.52(2010);later=[{'value': 11.71, 'firstReport': 2014}]"
2011,106916.0,15855.0,,,116433.0,20236.0,13.06,2.9,433362.0,,"revenue:disagree:106916.0vs[105056.0, 4195.0]|revenue:5yr_restated_or_disagree:orig=106916.0(2011);later=[{'value': 105056.0, 'firstReport': 2014}]|epsBasic:5yr_restated_or_disagree:orig=13.25(2011);later=[{'value': 13.46, 'firstReport': 2014}]|epsDiluted:5yr_restated_or_disagree:orig=13.06(2011);later=[{'value': 13.27, 'firstReport': 2014}]"
2012,104507.0,16604.0,,5816.0,119213.0,18984.0,14.37,3.3,434246.0,,"revenue:disagree:104507.0vs[102874.0, 4073.0]|revenue:5yr_restated_or_disagree:orig=104507.0(2012);later=[{'value': 102874.0, 'firstReport': 2014}]|epsBasic:5yr_restated_or_disagree:orig=14.53(2012);later=[{'value': 14.88, 'firstReport': 2014}]|epsDiluted:5yr_restated_or_disagree:orig=14.37(2012);later=[{'value': 14.71, 'firstReport': 2014}]"
2013,99751.0,16483.0,,5743.0,126223.0,22929.0,14.94,3.7,431212.0,,"revenue:disagree:98367.0vs[99751.0]|epsBasic:disagree:15.06vs[15.42]|revenue:5yr_restated_or_disagree:orig=99751.0(2013);later=[{'value': 98367.0, 'firstReport': 2014}]|epsBasic:5yr_restated_or_disagree:orig=15.06(2013);later=[{'value': 15.42, 'firstReport': 2014}]|epsDiluted:5yr_restated_or_disagree:orig=14.94(2013);later=[{'value': 15.3, 'firstReport': 2014}]"
2014,92793.0,12022.0,,5437.0,117532.0,12014.0,11.9,4.25,,sharesOutstandingM=weighted-average diluted,revenue:disagree:92793.0vs[4522.0]|epsBasic:anchor_overrode_md(15.68->11.97)|epsDiluted:anchor_overrode_md(15.59->11.9)
2015,81741.0,13190.0,,5247.0,110495.0,14424.0,13.42,5.0,,sharesOutstandingM=weighted-average diluted,
2016,79919.0,11872.0,,5751.0,117470.0,18392.0,12.38,5.5,,sharesOutstandingM=weighted-average diluted,revenue:disagree:79919.0vs[3494.0]
2017,79139.0,5753.0,,5590.0,125356.0,17725.0,6.14,5.9,,sharesOutstandingM=weighted-average diluted,revenue:disagree:79139.0vs[3168.0]|rdExpense:disagree:5590.0vs[5787.0]
2018,79591.0,8728.0,,5379.0,123382.0,16929.0,9.52,,,sharesOutstandingM=weighted-average diluted,
2019,77147,9431,,5989.0,152186.0,20985.0,10.56,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,revenue:disagree:77147.0vs[57714.0]
2020,73620,5590,,,155971.0,20727.0,6.23,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,revenue:disagree:55179.0vs[73620.0]|epsBasic:disagree:6.18vs[4.42]|revenue:anchor_overrode_md(55179.0->73620)
2021,57351,5743,,6488.0,132001.0,18996.0,6.35,,,revenue=worldwide consolidated revenue (post-Kyndryl spinoff); sharesOutstandingM=weighted-average diluted,epsBasic:anchor_overrode_md(5.26->6.41)
2022,60530,1639,,6567.0,127243.0,22021.0,1.8,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,
2023,61860,7502,,6775.0,135241.0,22613.0,8.14,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,
2024,62753,6023,,7479,137175.0,27393.0,6.43,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,
2025,67535,10593,39297,8316,151880.0,32740.0,11.17,,,revenue=worldwide consolidated revenue; sharesOutstandingM=weighted-average diluted,
